uid,age,gender,occupation,income,sport_interest,sports,ideal_frequency,teammate_shortage,teammate_pain_points,new_player_openness,trust_factors,current_finding_methods,current_finding_pains,booking_need,current_booking_methods,booking_pains,switching_triggers,expected_frequency_lift,willingness_to_pay,paid_features,open_motivation,new_player_openness_num,high_openness_to_new_players,teammate_shortage_score,ideal_frequency_score,booking_need_score,wtp_score,expected_frequency_lift_score,sport_interest_score,pain_count_teammate,pain_count_booking,early_adopter_candidate,student_young_segment,has_wtp_signal,strong_wtp
UID-036,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,Trước đây có chơi nhưng hiện tại ít chơi,Cầu lông,3 lần/tuần trở lên,Thỉnh thoảng,Bạn bè/người quen không rảnh,5.0,"Có xác minh tài khoản/số điện thoại, Biết trước lịch sử tham gia trận/hoạt động","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Cộng đồng trường học/công ty","Không biết ai đang rảnh, Khó tìm người gần mình, Không có đánh giá/độ uy tín của người chơi",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Đặt qua app/website","Không rõ giá, Không rõ chất lượng sân/địa điểm",Ghép người chơi theo lịch rảnh,Có thể,Có,Phí tham gia giải hoặc sự kiện thể thao,,5.0,True,2.0,3.0,2.0,2.0,1.0,1,1,2,False,True,True,True
UID-037,18–22,Nam,Học sinh/Sinh viên,Từ 2.000.000 - Dưới 5.000.000,"Có, thường xuyên","Chạy bộ theo nhóm, Bơi lội, Gym/Fitness theo nhóm",3 lần/tuần trở lên,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Khó tìm người cùng lịch rảnh, Không biết tìm người chơi ở đâu",5.0,"Hồ sơ người chơi rõ ràng, Biết trước lịch sử tham gia trận/hoạt động, Có nhóm chat trước buổi chơi","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Nhóm Facebook, Cộng đồng trường học/công ty","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Khó tìm người gần mình",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt","Không rõ giá, Không rõ chất lượng sân/địa điểm","Có nhiều người chơi thật, Biết trước lịch trống và giá sân, Ghép người chơi theo lịch rảnh, Có đánh giá người chơi và sân/địa điểm, Có cộng đồng/giải phong trào hoạt động thường xuyên","Có, chắc chắn","Có thể, nếu giá hợp lý",Phí tham gia giải hoặc sự kiện thể thao,,5.0,True,2.0,3.0,2.0,1.0,2.0,3,3,2,True,True,True,False
UID-038,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thường xuyên",Bóng đá,3 lần/tuần trở lên,Rất thường xuyên,Bạn bè/người quen không rảnh,3.0,Hồ sơ người chơi rõ ràng,"Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Nhóm Facebook","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh",Thỉnh thoảng,Gọi điện trực tiếp cho sân,Không biết sân/địa điểm nào còn trống,"Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác","Có, chắc chắn",Có,Phí đặt sân/địa điểm tiện lợi,,3.0,False,3.0,3.0,2.0,2.0,2.0,3,1,1,False,True,True,True
UID-039,18–22,Nam,Học sinh/Sinh viên,Không tiện đề cập,"Có, thỉnh thoảng","Cầu lông, Bóng đá, Bóng rổ, Bóng chuyền, Tennis, Pickleball, Bóng bàn, Chạy bộ theo nhóm, Đạp xe theo nhóm, Bơi lội, Gym/Fitness theo nhóm, Bida",Khi có người rủ,Chưa bao giờ,Khó chia chi phí,5.0,Có đánh giá từ người chơi khác,"Không chủ động tìm, chỉ chơi khi có người rủ","Dễ bị hủy kèo vào phút cuối, Khó chia tiền sân/chi phí",Không bao giờ,,,Có thể chia tiền sân trong app,Không chắc,Không,Gói premium để được ghép người phù hợp hơn,,5.0,True,0.0,1.0,0.0,0.0,0.0,2,1,0,False,True,False,False
UID-040,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,Trước đây có chơi nhưng hiện tại ít chơi,"Cầu lông, Chạy bộ theo nhóm, Đạp xe theo nhóm, Gym/Fitness theo nhóm",1–2 lần/tuần,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng lịch rảnh, Không biết tìm người chơi ở đâu, Người chơi hay hủy kèo, Khó chia chi phí",5.0,"Hồ sơ người chơi rõ ràng, Có nhóm chat trước buổi chơi, Có cơ chế báo cáo người chơi không phù hợp","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Nhóm Facebook","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Khó tìm người gần mình, Dễ bị hủy kèo vào phút cuối",Thỉnh thoảng,"Đặt qua app/website, Nhờ bạn bè đặt, Đến trực tiếp sân, Hỏi trong nhóm cộng đồng","Không biết sân/địa điểm nào còn trống, Không có đánh giá từ người chơi trước, Dễ bị trùng lịch hoặc hết chỗ",Biết trước lịch trống và giá sân,"Có, chắc chắn","Có thể, nếu giá hợp lý",Phí tham gia trận/nhóm chơi,,5.0,True,2.0,2.0,2.0,1.0,2.0,1,6,3,False,True,True,False
UID-041,18–22,Nam,Học sinh/Sinh viên,Từ 5.000.000 - Dưới 10.000.000,Trước đây có chơi nhưng hiện tại ít chơi,"Cầu lông, Bóng rổ, Bơi lội",Khi có người rủ,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Không biết tìm người chơi ở đâu, Người chơi hay hủy kèo",5.0,"Hồ sơ người chơi rõ ràng, Có xác minh tài khoản/số điện thoại, Biết trước trình độ chơi, Có nhóm chat trước buổi chơi","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Cộng đồng trường học/công ty, Dùng app/website thể thao","Phải nhắn nhiều nơi mới đủ người, Không biết trình độ người chơi, Khó tìm người gần mình, Không có đánh giá/độ uy tín của người chơi, Khó quản lý số lượng người tham gia",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Đặt qua app/website, Đến trực tiếp sân","Phải gọi/nhắn nhiều nơi, Không rõ chất lượng sân/địa điểm, Khó đổi/hủy lịch, Khó chia tiền với người chơi khác, Không có một nơi tổng hợp nhiều sân/môn thể thao","Có nhiều người chơi thật, Biết trước lịch trống và giá sân, Ghép người chơi theo lịch rảnh, Có đánh giá người chơi và sân/địa điểm, Có xác minh tài khoản, Có thể chia tiền sân trong app, Có cộng đồng/giải phong trào hoạt động thường xuyên, Giao diện đơn giản, dễ dùng",Có thể,"Có thể, nếu app thật sự có nhiều người dùng",Phí đặt sân/địa điểm tiện lợi,,5.0,True,2.0,1.0,2.0,1.0,1.0,1,4,5,False,True,True,False
UID-042,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,Trước đây có chơi nhưng hiện tại ít chơi,"Cầu lông, Bóng đá, Bóng rổ, Bóng chuyền, Bóng bàn, Bida",1–2 lần/tuần,Rất thường xuyên,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng lịch rảnh, Người chơi hay hủy kèo",3.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại, Có nhóm chat trước buổi chơi","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Cộng đồng trường học/công ty","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Dễ bị hủy kèo vào phút cuối, Khó quản lý số lượng người tham gia",Thường xuyên,"Gọi điện trực tiếp cho sân, Đặt qua app/website, Nhờ bạn bè đặt","Không biết sân/địa điểm nào còn trống, Không rõ chất lượng sân/địa điểm, Dễ bị trùng lịch hoặc hết chỗ","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Ghép người chơi theo trình độ, Ghép người chơi theo lịch rảnh, Có xác minh tài khoản, Có thể chia tiền sân trong app, Giao diện đơn giản, dễ dùng",Có thể,"Có thể, nếu giá hợp lý","Phí đặt sân/địa điểm tiện lợi, Gói premium để được ghép người phù hợp hơn",,3.0,False,3.0,2.0,3.0,1.0,1.0,1,4,3,False,True,True,False
UID-043,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,Không quan tâm,,,,,,,,,,,,,,,,Có bạn/người chơi cùng,,False,,,,,,0,0,0,False,True,False,False
UID-044,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thỉnh thoảng","Cầu lông, Gym/Fitness theo nhóm, Bida",Khi có người rủ,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng lịch rảnh, Không biết tìm người chơi ở đâu",4.0,"Hồ sơ người chơi rõ ràng, Có xác minh tài khoản/số điện thoại, Có nhóm chat trước buổi chơi, Có cơ chế báo cáo người chơi không phù hợp","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Khó tìm người gần mình, Dễ bị hủy kèo vào phút cuối, Ngại chơi với người lạ vì thiếu thông tin",Hiếm khi,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt, Đến trực tiếp sân","Không biết sân/địa điểm nào còn trống, Phải gọi/nhắn nhiều nơi, Không rõ giá, Không có đánh giá từ người chơi trước","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Giao diện đơn giản, dễ dùng",Có thể,"Có thể, nếu app thật sự có nhiều người dùng","Phí đặt sân/địa điểm tiện lợi, Phí tham gia trận/nhóm chơi",,4.0,True,2.0,1.0,1.0,1.0,1.0,2,4,4,True,True,True,False
UID-045,18–22,Nam,Nhân viên văn phòng,Trên 10.000.000,"Có, thường xuyên",Bóng đá,1–2 lần/tuần,Rất thường xuyên,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng lịch rảnh",3.0,Có cơ chế báo cáo người chơi không phù hợp,"Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Cộng đồng trường học/công ty, Hỏi chủ sân/người quen ở sân",Ngại chơi với người lạ vì thiếu thông tin,Thường xuyên,"Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt",Phải gọi/nhắn nhiều nơi,"Biết trước lịch trống và giá sân, Có đánh giá người chơi và sân/địa điểm",Có thể,Không,:v,,3.0,False,3.0,2.0,3.0,0.0,1.0,3,3,1,False,False,False,False
UID-046,18–22,Nam,Học sinh/Sinh viên,Không tiện đề cập,Trước đây có chơi nhưng hiện tại ít chơi,"Cầu lông, Chạy bộ theo nhóm, Đạp xe theo nhóm, Gym/Fitness theo nhóm",Khi có người rủ,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng lịch rảnh, Người chơi hay hủy kèo, Khó chia chi phí",3.0,"Hồ sơ người chơi rõ ràng, Có xác minh tài khoản/số điện thoại, Có nhóm chat trước buổi chơi, Có cơ chế báo cáo người chơi không phù hợp","Rủ bạn bè/người quen trực tiếp, Không chủ động tìm, chỉ chơi khi có người rủ","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Khó tìm người gần mình, Dễ bị hủy kèo vào phút cuối, Ngại chơi với người lạ vì thiếu thông tin",Thỉnh thoảng,"Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt","Không biết sân/địa điểm nào còn trống, Phải gọi/nhắn nhiều nơi, Không rõ giá, Không rõ chất lượng sân/địa điểm, Không có đánh giá từ người chơi trước, Dễ bị trùng lịch hoặc hết chỗ, Khó đổi/hủy lịch","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Ghép người chơi theo lịch rảnh, Có đánh giá người chơi và sân/địa điểm, Có xác minh tài khoản, Có thể chia tiền sân trong app, Có cộng đồng/giải phong trào hoạt động thường xuyên, Giao diện đơn giản, dễ dùng",Có thể,Không,"Phí đặt sân/địa điểm tiện lợi, Phí tham gia giải hoặc sự kiện thể thao",,3.0,False,2.0,1.0,2.0,0.0,1.0,1,5,7,False,True,False,False
UID-047,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thỉnh thoảng","Cầu lông, Bóng đá",1–2 lần/tuần,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi",4.0,Có nhóm chat trước buổi chơi,"Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Nhóm Facebook","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Ngại chơi với người lạ vì thiếu thông tin",Hiếm khi,"Nhắn Zalo/Facebook cho sân, Không cần đặt trước",Dễ bị trùng lịch hoặc hết chỗ,"Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Có xác minh tài khoản, Có cộng đồng/giải phong trào hoạt động thường xuyên",Không chắc,"Có thể, nếu app thật sự có nhiều người dùng","Phí đặt sân/địa điểm tiện lợi, Phí tham gia giải hoặc sự kiện thể thao",,4.0,True,2.0,2.0,1.0,1.0,0.0,2,2,1,False,True,True,False
UID-048,18–22,Nam,Học sinh/Sinh viên,Từ 5.000.000 - Dưới 10.000.000,"Có, thỉnh thoảng",Gym/Fitness theo nhóm,3 lần/tuần trở lên,Thỉnh thoảng,Bạn bè/người quen không rảnh,4.0,"Có xác minh tài khoản/số điện thoại, Biết trước trình độ chơi, Biết trước lịch sử tham gia trận/hoạt động",Rủ bạn bè/người quen trực tiếp,Phải nhắn nhiều nơi mới đủ người,Thỉnh thoảng,"Nhắn Zalo/Facebook cho sân, Nhờ bạn bè đặt",Không biết sân/địa điểm nào còn trống,"Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác","Có, chắc chắn",Có,"Phí đặt sân/địa điểm tiện lợi, Phí tham gia trận/nhóm chơi",,4.0,True,2.0,3.0,2.0,2.0,2.0,2,1,1,True,True,True,True
UID-049,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thỉnh thoảng","Cầu lông, Bóng đá, Chạy bộ theo nhóm, Đạp xe theo nhóm",Khi có người rủ,Hiếm khi,"Bạn bè/người quen không rảnh, Khó tìm người cùng lịch rảnh",3.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại, Biết trước trình độ chơi, Có nhóm chat trước buổi chơi, Có cơ chế báo cáo người chơi không phù hợp","Rủ bạn bè/người quen trực tiếp, Cộng đồng trường học/công ty","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh",Thỉnh thoảng,"Nhờ bạn bè đặt, Đến trực tiếp sân, Địa điểm công cộng như công viên","Không biết sân/địa điểm nào còn trống, Không rõ giá, Không rõ chất lượng sân/địa điểm","Có nhiều người chơi thật, Biết trước lịch trống và giá sân, Ghép người chơi theo lịch rảnh, Có đánh giá người chơi và sân/địa điểm, Có xác minh tài khoản, Giao diện đơn giản, dễ dùng",Có thể,"Có thể, nếu app thật sự có nhiều người dùng","Phí đặt sân/địa điểm tiện lợi, Phí tham gia giải hoặc sự kiện thể thao",,3.0,False,1.0,1.0,2.0,1.0,1.0,2,2,3,False,True,True,False
UID-050,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,Trước đây có chơi nhưng hiện tại ít chơi,Bơi lội,1–3 lần/tháng,Hiếm khi,Người chơi hay hủy kèo,4.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại, Biết trước trình độ chơi, Biết trước lịch sử tham gia trận/hoạt động, Có nhóm chat trước buổi chơi, Có cơ chế báo cáo người chơi không phù hợp",Rủ bạn bè/người quen trực tiếp,Không biết ai đang rảnh,Hiếm khi,"Nhờ bạn bè đặt, Đến trực tiếp sân",Không rõ chất lượng sân/địa điểm,"Giao diện đơn giản, dễ dùng",Không chắc,Không,Phí đặt sân/địa điểm tiện lợi,,4.0,True,1.0,1.0,1.0,0.0,0.0,1,1,1,False,True,False,False
UID-051,18–22,Nam,Học sinh/Sinh viên,Từ 2.000.000 - Dưới 5.000.000,"Có, thỉnh thoảng","Cầu lông, Bóng đá, Bóng chuyền, Bơi lội, Gym/Fitness theo nhóm, Bida",Khi có người rủ,Thỉnh thoảng,"Khó tìm người cùng lịch rảnh, Không biết tìm người chơi ở đâu",4.0,Có nhóm chat trước buổi chơi,Rủ bạn bè/người quen trực tiếp,"Không biết trình độ người chơi, Khó tìm người gần mình",Thỉnh thoảng,Nhắn Zalo/Facebook cho sân,Không biết sân/địa điểm nào còn trống,Có nhiều sân/địa điểm thể thao đối tác,Có thể,"Có thể, nếu app thật sự có nhiều người dùng",Phí đặt sân/địa điểm tiện lợi,,4.0,True,2.0,1.0,2.0,1.0,1.0,2,2,1,True,True,True,False
UID-052,18–22,Nam,Học sinh/Sinh viên,Trên 10.000.000,"Có, thỉnh thoảng",Đá cầu,Khi có người rủ,Thỉnh thoảng,Khó chia chi phí,4.0,Có nhóm chat trước buổi chơi,"Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Nhóm Facebook","Không biết ai đang rảnh, Khó tìm người gần mình, Dễ bị hủy kèo vào phút cuối",Hiếm khi,"Nhờ bạn bè đặt, Đến trực tiếp sân",Không rõ giá,"Ghép người chơi theo lịch rảnh, Có đánh giá người chơi và sân/địa điểm, Có xác minh tài khoản",Có thể,"Có thể, nếu giá hợp lý","Phí đặt sân/địa điểm tiện lợi, Phí tham gia trận/nhóm chơi",,4.0,True,2.0,1.0,1.0,1.0,1.0,2,1,1,True,True,True,False
UID-053,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thường xuyên",Bóng đá,3 lần/tuần trở lên,Thỉnh thoảng,Bạn bè/người quen không rảnh,5.0,"Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Hỏi chủ sân/người quen ở sân","Không biết ai đang rảnh, Khó tìm người gần mình",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân",Phải gọi/nhắn nhiều nơi,"Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác",Có thể,Có,"Phí tham gia trận/nhóm chơi, Gói premium để được ghép người phù hợp hơn",,5.0,True,2.0,3.0,2.0,2.0,1.0,3,1,1,True,True,True,True
UID-054,18–22,Nam,Học sinh/Sinh viên,Từ 2.000.000 - Dưới 5.000.000,"Có, thường xuyên","Tennis, Đạp xe theo nhóm, Gym/Fitness theo nhóm",3 lần/tuần trở lên,Rất thường xuyên,"Bạn bè/người quen không rảnh, Khó tìm người cùng trình độ, Khó tìm người cùng lịch rảnh, Không biết tìm người chơi ở đâu",5.0,"Hồ sơ người chơi rõ ràng, Biết trước trình độ chơi, Biết trước lịch sử tham gia trận/hoạt động","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger, Nhóm Facebook","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Không biết trình độ người chơi, Khó tìm người gần mình, Ngại chơi với người lạ vì thiếu thông tin",Không bao giờ,,,"Biết trước lịch trống và giá sân, Có đánh giá người chơi và sân/địa điểm, Có xác minh tài khoản, Có thể chia tiền sân trong app","Có, chắc chắn","Có thể, nếu giá hợp lý","Phí đặt sân/địa điểm tiện lợi, Phí tham gia trận/nhóm chơi, Gói premium để được ghép người phù hợp hơn",,5.0,True,3.0,3.0,0.0,1.0,2.0,3,4,0,True,True,True,False
UID-055,18–22,Nam,Học sinh/Sinh viên,Từ 2.000.000 - Dưới 5.000.000,Trước đây có chơi nhưng hiện tại ít chơi,"Cầu lông, Bóng đá, Bóng bàn",Khi có người rủ,Chưa bao giờ,Bạn bè/người quen không rảnh,2.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại, Có cơ chế báo cáo người chơi không phù hợp","Không chủ động tìm, chỉ chơi khi có người rủ","Dễ bị hủy kèo vào phút cuối, Ngại chơi với người lạ vì thiếu thông tin",Hiếm khi,Đến trực tiếp sân,"Không biết sân/địa điểm nào còn trống, Dễ bị trùng lịch hoặc hết chỗ, Không có một nơi tổng hợp nhiều sân/môn thể thao","Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Giao diện đơn giản, dễ dùng",Không chắc,Không,"Hiện có thể ra công viên hoặc đâu đó có sân chơi miễn phí. Dường như môn thể thao nào cũng có thể chơi ít nhất 2 người, nên nếu chơi cho vui với bạn bè chứ không phải kiểu chơi chuyên nghiệp thì khó mà cần trả phí cho các tính năng",,2.0,False,0.0,1.0,1.0,0.0,0.0,1,1,3,False,True,False,False
UID-056,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thỉnh thoảng","Bóng đá, Bóng chuyền, Gym/Fitness theo nhóm",1–3 lần/tháng,Rất thường xuyên,Bạn bè/người quen không rảnh,4.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Biết trước lịch sử tham gia trận/hoạt động",Rủ bạn bè/người quen trực tiếp,"Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh",Thỉnh thoảng,"Nhắn Zalo/Facebook cho sân, Đặt qua app/website, Nhờ bạn bè đặt, Không cần đặt trước","Không biết sân/địa điểm nào còn trống, Phải gọi/nhắn nhiều nơi","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Ghép người chơi theo lịch rảnh",Có thể,"Có thể, nếu app thật sự có nhiều người dùng",Phí đặt sân/địa điểm tiện lợi,,4.0,True,3.0,1.0,2.0,1.0,1.0,2,1,2,True,True,True,False
UID-057,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thỉnh thoảng","Cầu lông, Bóng đá, Bóng chuyền",Khi có người rủ,Thỉnh thoảng,Bạn bè/người quen không rảnh,3.0,"Hồ sơ người chơi rõ ràng, Có nhóm chat trước buổi chơi, Có cơ chế báo cáo người chơi không phù hợp","Rủ bạn bè/người quen trực tiếp, Không chủ động tìm, chỉ chơi khi có người rủ","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Nhắn Zalo/Facebook cho sân","Không biết sân/địa điểm nào còn trống, Phải gọi/nhắn nhiều nơi, Không rõ giá, Không rõ chất lượng sân/địa điểm","Có nhiều người chơi thật, Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Giao diện đơn giản, dễ dùng",Có thể,"Có thể, nếu giá hợp lý",Phí đặt sân/địa điểm tiện lợi,,3.0,False,2.0,1.0,2.0,1.0,1.0,2,1,4,False,True,True,False
UID-058,18–22,Nam,Học sinh/Sinh viên,Dưới 2.000.000 VND,"Có, thỉnh thoảng","Bóng đá, Bơi lội",1–2 lần/tuần,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Không biết tìm người chơi ở đâu",3.0,Có cơ chế báo cáo người chơi không phù hợp,"Nhóm Zalo/Messenger, Nhóm Facebook",người lạ,Thỉnh thoảng,"Nhắn Zalo/Facebook cho sân, Hỏi trong nhóm cộng đồng, Không cần đặt trước","Không rõ chất lượng sân/địa điểm, Dễ bị trùng lịch hoặc hết chỗ","Có cộng đồng/giải phong trào hoạt động thường xuyên, Giao diện đơn giản, dễ dùng",Có thể,"Có thể, nếu giá hợp lý",Phí đặt sân/địa điểm tiện lợi,,3.0,False,2.0,2.0,2.0,1.0,1.0,2,3,2,False,True,True,False
UID-059,18–22,Nam,Học sinh/Sinh viên,Không tiện đề cập,"Có, thỉnh thoảng","Cầu lông, Bóng đá, Bóng chuyền, Bơi lội, Bida",Khi có người rủ,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng trình độ, Khó tìm người cùng lịch rảnh",4.0,"Biết trước trình độ chơi, Biết trước lịch sử tham gia trận/hoạt động, Có cơ chế báo cáo người chơi không phù hợp","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Khó quản lý số lượng người tham gia",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Nhờ bạn bè đặt, Đến trực tiếp sân","Không biết sân/địa điểm nào còn trống, Phải gọi/nhắn nhiều nơi, Không rõ giá, Không rõ chất lượng sân/địa điểm, Dễ bị trùng lịch hoặc hết chỗ, Không có một nơi tổng hợp nhiều sân/môn thể thao","Có nhiều sân/địa điểm thể thao đối tác, Biết trước lịch trống và giá sân, Giao diện đơn giản, dễ dùng","Có, chắc chắn","Có thể, nếu giá hợp lý","Phí đặt sân/địa điểm tiện lợi, Phí tham gia giải hoặc sự kiện thể thao",,4.0,True,2.0,1.0,2.0,1.0,2.0,2,4,6,True,True,True,False
UID-060,18–22,Nam,Học sinh/Sinh viên,Từ 2.000.000 - Dưới 5.000.000,Chưa chơi thường xuyên nhưng muốn bắt đầu,"Cầu lông, Bida",Khi có người rủ,Hiếm khi,Bạn bè/người quen không rảnh,3.0,"Có xác minh tài khoản/số điện thoại, Có cơ chế báo cáo người chơi không phù hợp",Rủ bạn bè/người quen trực tiếp,"Không biết ai đang rảnh, Dễ bị hủy kèo vào phút cuối",Hiếm khi,Đến trực tiếp sân,"Không biết sân/địa điểm nào còn trống, Không có đánh giá từ người chơi trước","Có nhiều người chơi thật, Có đánh giá người chơi và sân/địa điểm",Không chắc,"Có thể, nếu app thật sự có nhiều người dùng",Gói premium để được ghép người phù hợp hơn,,3.0,False,1.0,1.0,1.0,1.0,0.0,1,1,2,False,True,True,False
UID-061,18–22,Nam,Học sinh/Sinh viên,Không tiện đề cập,Chưa chơi thường xuyên nhưng muốn bắt đầu,"Bóng đá, Bơi lội, Gym/Fitness theo nhóm",Khi có người rủ,Thỉnh thoảng,Khó tìm người cùng trình độ,4.0,Có nhóm chat trước buổi chơi,Rủ bạn bè/người quen trực tiếp,Không biết trình độ người chơi,Hiếm khi,Đến trực tiếp sân,Không rõ giá,"Có nhiều người chơi thật, Ghép người chơi theo trình độ",Có thể,"Có thể, nếu giá hợp lý",Phí tham gia giải hoặc sự kiện thể thao,,4.0,True,2.0,1.0,1.0,1.0,1.0,1,1,1,False,True,True,False
UID-062,18–22,Nam,Học sinh/Sinh viên,Trên 10.000.000,"Có, thường xuyên","Pickleball, Bơi lội, Gym/Fitness theo nhóm",3 lần/tuần trở lên,Thỉnh thoảng,"Bạn bè/người quen không rảnh, Không đủ số lượng người để chơi, Khó tìm người cùng lịch rảnh",4.0,"Hồ sơ người chơi rõ ràng, Có đánh giá từ người chơi khác, Có xác minh tài khoản/số điện thoại","Rủ bạn bè/người quen trực tiếp, Nhóm Zalo/Messenger","Phải nhắn nhiều nơi mới đủ người, Không biết ai đang rảnh, Không biết trình độ người chơi, Dễ bị hủy kèo vào phút cuối",Thỉnh thoảng,"Gọi điện trực tiếp cho sân, Đặt qua app/website","Không biết sân/địa điểm nào còn trống, Không rõ giá, Không có đánh giá từ người chơi trước, Dễ bị trùng lịch hoặc hết chỗ","Có nhiều người chơi thật, Biết trước lịch trống và giá sân, Ghép người chơi theo lịch rảnh, Có đánh giá người chơi và sân/địa điểm",Có thể,"Có thể, nếu giá hợp lý","Phí đặt sân/địa điểm tiện lợi, Phí tham gia trận/nhóm chơi",,4.0,True,2.0,3.0,2.0,1.0,1.0,3,3,4,True,True,True,False
